Question,Correct Answer,Wrong Answer,Wrong Answer,Wrong Answer,Stage,Q is long? (Y/N),A is long? (Y/N)
What month is the beginning of the year? ,Nisan,Aviv,Iyar,Sivan,0,N,N
The first feast of the year is called? ,Passover,Feast of first fruits,Feast of Trumpets,Sukkot,0,N,N
Passover starts the ____day of the month,14,19,21,1,0,N,N
"In preparation for Passover, one gets a lamb on the __ day of the month",10,15,2,5,0,N,N
"For the Feast of Unleavened Bread, one is to eat unleavened bread for how long?",7 days,5 days,14 days,31 days,0,N,N
"To partake in Passover, one had to ....",Be circumcised ,Pay money,Give a gift to their brother,Clean their dwelling,0,N,N
Name 5 foods that contain leaven. ,"bread, crackers, cookies, doughnuts, anything with yeast or baking soda to name a few",,,,0,N,N
Which is a way to NOT observe the 7th day of the Feast of Unleavened Bread,Selling in the temple,No manner of work,Have a holy assembly,Eat unleavened bread,0,N,N
How did YAH lead the mixed multitude out of Egypt? ,A pillar of fire by night; a cloud by day,A pillar of fire by day; a cloud by night,"Rain by day, a pillar of fire by night",Lightning strikes ,0,N,N
What stopped Egypt's army from capturing Israel in their exodus?,The red sea,Israel's army,A massive thunderstorm,Dense fog ,0,N,N
How did YAH help Israel escape Egypt?,He took off the Egyptian army's chariot wheels,He struck the Egyptian army with lightning,He sent another plague while the Egyptian army was in pursuit,He gave the Egyptian army food poisoning,0,N,N
What are the first ~10 words from the victory song of Moses? ,"I will sing unto Yahuah, for he has triumphed gloriously",YAHUAH is my light and strength,YAHUAH should be praised!,I will bless Elohim's Name,0,N,N
"At Marah, where the waters were bitter, the Israelites began to...",Murmur and complain,Collect it for their enemies,Die from thirst,Rejoice and give thanks,0,N,N
By YAH Moses sweetened the bitter waters and promised no diseases from Egypt if Israel did what? ,Obeyed His commandments,Gave Him all sacrifices,Created idols,Prayed and fasted,0,N,N
What did the Israelites complain about first in the wilderness?,The water was bitter,They didn't have seasoning for their food,They didn't have wine,Hard Dough bread,0,N,N
What is the first commandment in the Bible?,Be fruitful and multiply,Thou shall not kill,Thou shall not kill,Rejoice always,0,N,N
What is the day to keep holy?,7,1,3,5,0,N,N
What is the seventh day of the week to keep Holy?,Saturday,Sunday,Monday,Friday,0,N,N
What are the 2 commandments to sum all others,Love God and love your neighbor as yourself,Be holy and rejoice,Don't commit adultery and idolatry,Care for the earth and people,0,N,N
What did Sarah do when the Angel spoke of her having a child in her old age?,Laugh,Cry,Jump for joy,Run,0,N,N
What does YAH love more than a sacrifice?,Obedience,Money,Truthfulness,Reading the bible,0,N,N
What was Eve's punishment for eating of the Tree of Knowledge?,Childbearing pain,Immortality,Infertility,Death of a son,0,N,N
What was Adam's punishment for eating of the Tree of Knowledge?,Work for food,Empty belly,Unstable home,Unfulfilled desire,0,N,N
