Question,Correct Answer,Wrong Answer,Wrong Answer,Wrong Answer,Stage,Q is long? (Y/N),A is long? (Y/N),
Elohim planned to burn Sodom and Gemorah because...,They were a sinful nation,They had too many people,All of the above,Prophecy fufillment,,,,Genesis 19
"When the angels were about to be attacked in Sodom and Gemorah, Lot...",Offered his daughters in their place,Fought his way through the crowd to save them,Prayed for their deliverance,Called the police,,,,Genesis 19
Why did Lot's wife turn into a pillar of salt?,She disobeyed God's command and looked back,She was cursed,Prophecy fufillment,All of the above,,,,Genesis 19
How is Sarah related to Abraham?,She is the daughter of his father,She is the daughter of his mother,She is the sister of his father,She is the neice of his brother,,,,Genesis 20
What was the curse of Abimelek's nation for taking Sarah?,God closed up the wombs of the women in the nation,God cursed the men with infertility,All of the above,God wiped out the first born of the nation,,,,Genesis 20
What did Ishmael grow up to be?,An archer,A sheep herder,A warrior,A peasant ,,,,Genesis 21
What was Abraham's demand in burying Sarah?,That he pay for her burial land,That Ishmael attend the funeral,That she be buried with her wealth,That Issac does not attend the funeral,,,,Genesis 23
What was Abraham's demand in burying Sarah?,That he pay for her burial land,That Ishmael attend the funeral,That she be buried with her wealth,That Issac does not attend the funeral,,,,Genesis 23
What was the bread called that Elohim rained from the sky?,Manna,Halla,Crackers,Biscuit,,,,
How long did mana rain from the sky?,40 years,80 years,15 years,7 years,,,,
Why did the children have to collect the manna a certain way? ,to prove themselves whether they would walk in the Torah,To make sure it didn't go bad,To preserve the freshness,To protect themselves,,,,
What were the children of Israel fed from the sky besides manna? ,Quail,Raisins,Berries,Tomatoes,,,,
The children of Israel should be a kingdom of ___and a ___nation,Priest/Holy,Beggers/Poor,Takers/Wealthy,Servants/Blessed,,,,
"To appear before The Most High, the children of Israel had to do everything except ",Fast,Wash clothes,Avoid spouses,Listen for the shofar,,,,
Finish the commandment: you should't afflict a widow or,Fatherless child,single mom,Spouse,Believer,,,,
Finish the commandment: thou shall not,have any other Gods before me,have any Idols other than your family,None of the above,Accept any gifts,,,,
Which of these is an unclean food?,Pork,Chicken,Beef,All of the above,,,,
Which of these is an unclean food?,Fish without scales,Fish with scales and fin,Turkey,Quail,,,,
Which of these is NOT an unclean food?,Oxtail,Crabs,Snake,Shellfish,,,,
Finish the commandment: thou shall not,Murder,Kill,Forget,Plot,,,,
Finish the commandment: thou shall,Install a brace on your roof,Give to all strangers,Remember the second day and keep it holy,Pray daily,,,,
How was Jacob able to trick Issac when he was giving the birthright?,Isaac was blind,Issac was forgetful,Isaac was drunk,Isaac was deaf,,,,
How many years did Jacob serve his father in law?,7,10,20,2,,,,
Who succeeded Moses?,Joshua,Aaron,Levi,Jacob,,,,
What was esau?,A hunter,A fisherman,A Ruler,A archer,,,,
What happened when Rebecca was delivering Esau and Jacob?,Jacob pulled Esau's foot,Jacob was born premature,Esau was born with a birth defect,None of the above,,,,
What did Rebecca fix for Isaac as his favorite meal?,Venson,Lamb,Chicken,Quail,,,,
Where did Abraham go to find Isaac a wife?,Kenan,Elim,Egypt,Goshen,,,,
7Level 3 #6,,,,,,,,
